variable;empresa;año;valor;tipo
recognized_env_standard;Grifols;2019;1;cualitativo
energy_management;Grifols;2019;1;cualitativo
%_renewable_energy;Grifols;2019;0.02;cuantitativo
external_audit;Grifols;2018;1;cualitativo
2030_commitment;Grifols;2018;0;cualitativo
biodiversity_commitment;Grifols;2018;0;cualitativo
climate_strategy;Grifols;2018;1;cualitativo
recognized_env_standard;Grifols;2018;1;cualitativo
energy_management;Grifols;2018;0;cualitativo
%_renewable_energy;Grifols;2018;0.012;cuantitativo
external_audit;Grifols;2017;0;cualitativo
2030_commitment;Grifols;2017;0;cualitativo
biodiversity_commitment;Grifols;2017;0;cualitativo
climate_strategy;Grifols;2017;0;cualitativo
recognized_env_standard;Grifols;2017;1;cualitativo
energy_management;Grifols;2017;1;cualitativo
%_renewable_energy;Grifols;2017;0.637;cuantitativo
external_audit;Red Eléctrica;2021;1;cualitativo
2030_commitment;Red Eléctrica;2021;1;cualitativo
biodiversity_commitment;Red Eléctrica;2021;1;cualitativo
climate_strategy;Red Eléctrica;2021;1;cualitativo
recognized_env_standard;Red Eléctrica;2021;1;cualitativo
energy_management;Red Eléctrica;2021;0;cualitativo
%_renewable_energy;Red Eléctrica;2021;0;cuantitativo
external_audit;Red Eléctrica;2020;0;cualitativo
2030_commitment;Red Eléctrica;2020;1;cualitativo
biodiversity_commitment;Red Eléctrica;2020;0;cualitativo
climate_strategy;Red Eléctrica;2020;1;cualitativo
recognized_env_standard;Red Eléctrica;2020;1;cualitativo
energy_management;Red Eléctrica;2020;0;cualitativo
%_renewable_energy;Red Eléctrica;2020;0.58;cuantitativo
external_audit;Red Eléctrica;2019;1;cualitativo
2030_commitment;Red Eléctrica;2019;1;cualitativo
biodiversity_commitment;Red Eléctrica;2019;1;cualitativo
climate_strategy;Red Eléctrica;2019;1;cualitativo
recognized_env_standard;Red Eléctrica;2019;1;cualitativo
energy_management;Red Eléctrica;2019;1;cualitativo
%_renewable_energy;Red Eléctrica;2019;0.87;cuantitativo
external_audit;Red Eléctrica;2018;0;cualitativo
2030_commitment;Red Eléctrica;2018;1;cualitativo
biodiversity_commitment;Red Eléctrica;2018;1;cualitativo
climate_strategy;Red Eléctrica;2018;0;cualitativo
recognized_env_standard;Red Eléctrica;2018;1;cualitativo
energy_management;Red Eléctrica;2018;1;cualitativo
%_renewable_energy;Red Eléctrica;2018;0.4;cuantitativo
external_audit;Red Eléctrica;2017;1;cualitativo
2030_commitment;Red Eléctrica;2017;1;cualitativo
biodiversity_commitment;Red Eléctrica;2017;1;cualitativo
climate_strategy;Red Eléctrica;2017;0;cualitativo
recognized_env_standard;Red Eléctrica;2017;1;cualitativo
energy_management;Red Eléctrica;2017;0;cualitativo
%_renewable_energy;Red Eléctrica;2017;0.84;cuantitativo
external_audit;Fluidra;2021;0;cualitativo
2030_commitment;Fluidra;2021;1;cualitativo
biodiversity_commitment;Fluidra;2021;1;cualitativo
climate_strategy;Fluidra;2021;1;cualitativo
recognized_env_standard;Fluidra;2021;1;cualitativo
